ITTER107;Territorio;TIPO_DATO7;Indicatori;CORREZ;Correzione;TIPO_ALLOGGIO2;Tipologia di esercizio;ATECO_2007;Ateco 2007;ISO;Paese di residenza dei clienti;TIME;Seleziona periodo;Value;Flag Codes;Flags
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2010-09;set-10;78494;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2010-10;ott-10;60463;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2010-11;nov-10;51185;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2010-12;dic-10;69391;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-01;gen-11;80228;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-02;feb-11;85010;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-03;mar-11;75844;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-04;apr-11;64716;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-05;mag-11;70314;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-06;giu-11;124334;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-07;lug-11;171519;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-08;ago-11;199843;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-09;set-11;88468;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-10;ott-11;61584;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-11;nov-11;48741;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2011-12;dic-11;67097;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2012-01;gen-12;80850;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2012-02;feb-12;68528;;
ITF1;Abruzzo;AR;arrivi ;N;dati grezzi;HOTELLIKE;esercizi alberghieri;551_553;alberghi e strutture simili, alloggi per vacanze e altre strutture per brevi soggiorni, aree di campeggio e aree attrezzate per camper e roulotte;IT;Italia;2012-03;mar-12;87954;;
