2009-12-01,esercizi alberghieri,Paesi esteri,1687,6273
2009-12-01,esercizi extra-alberghieri,Italia,905,4283
2009-12-01,esercizi extra-alberghieri,Paesi esteri,72,787
2010-01-01,esercizi alberghieri,Italia,13660,39632
2010-01-01,esercizi alberghieri,Paesi esteri,1503,6451
2010-01-01,esercizi extra-alberghieri,Italia,786,3036
2010-01-01,esercizi extra-alberghieri,Paesi esteri,88,637
2010-02-01,esercizi alberghieri,Italia,13739,32191
2010-02-01,esercizi alberghieri,Paesi esteri,1605,6395
2010-02-01,esercizi extra-alberghieri,Italia,722,2658
2010-02-01,esercizi extra-alberghieri,Paesi esteri,66,523
2010-03-01,esercizi alberghieri,Italia,18111,38987
2010-03-01,esercizi alberghieri,Paesi esteri,2390,8433
2010-03-01,esercizi extra-alberghieri,Italia,903,3155
2010-03-01,esercizi extra-alberghieri,Paesi esteri,101,724
2010-04-01,esercizi alberghieri,Italia,20772,46903
2010-04-01,esercizi alberghieri,Paesi esteri,2493,8810
2010-04-01,esercizi extra-alberghieri,Italia,1096,3499
2010-04-01,esercizi extra-alberghieri,Paesi esteri,142,1123
2010-05-01,esercizi alberghieri,Italia,22003,47355
2010-05-01,esercizi alberghieri,Paesi esteri,4144,12427
2010-05-01,esercizi extra-alberghieri,Italia,933,3266
2010-05-01,esercizi extra-alberghieri,Paesi esteri,233,1430
2010-06-01,esercizi alberghieri,Italia,27270,95133
2010-06-01,esercizi alberghieri,Paesi esteri,4129,15016
2010-06-01,esercizi extra-alberghieri,Italia,1192,4175
2010-06-01,esercizi extra-alberghieri,Paesi esteri,296,1736
2010-07-01,esercizi alberghieri,Italia,33102,150597
2010-07-01,esercizi alberghieri,Paesi esteri,6691,27797
2010-07-01,esercizi extra-alberghieri,Italia,1717,6607
2010-07-01,esercizi extra-alberghieri,Paesi esteri,625,4583
2010-08-01,esercizi alberghieri,Italia,36685,186737
2010-08-01,esercizi alberghieri,Paesi esteri,4995,24135
2010-08-01,esercizi extra-alberghieri,Italia,2643,10414
2010-08-01,esercizi extra-alberghieri,Paesi esteri,481,5067
2010-09-01,esercizi alberghieri,Italia,21603,77140
2010-09-01,esercizi alberghieri,Paesi esteri,4951,16780
2010-09-01,esercizi extra-alberghieri,Italia,1041,5540
2010-09-01,esercizi extra-alberghieri,Paesi esteri,264,3075
2010-10-01,esercizi alberghieri,Italia,21239,46919
2010-10-01,esercizi alberghieri,Paesi esteri,3640,11430
2010-10-01,esercizi extra-alberghieri,Italia,842,4838
2010-10-01,esercizi extra-alberghieri,Paesi esteri,169,1818
2010-11-01,esercizi alberghieri,Italia,17936,39127
2010-11-01,esercizi alberghieri,Paesi esteri,2140,7564
2010-11-01,esercizi extra-alberghieri,Italia,626,3923
2010-11-01,esercizi extra-alberghieri,Paesi esteri,56,801
2010-12-01,esercizi alberghieri,Italia,16003,34684
2010-12-01,esercizi alberghieri,Paesi esteri,1715,7050
2010-12-01,esercizi extra-alberghieri,Italia,703,3487
2010-12-01,esercizi extra-alberghieri,Paesi esteri,42,647
2011-01-01,esercizi alberghieri,Italia,14315,30758
2011-01-01,esercizi alberghieri,Paesi esteri,1922,5620
2011-01-01,esercizi extra-alberghieri,Italia,663,3731
2011-01-01,esercizi extra-alberghieri,Paesi esteri,43,648
2011-02-01,esercizi alberghieri,Italia,14563,28316
2011-02-01,esercizi alberghieri,Paesi esteri,1823,5361
2011-02-01,esercizi extra-alberghieri,Italia,483,2766
2011-02-01,esercizi extra-alberghieri,Paesi esteri,73,1000
2011-03-01,esercizi alberghieri,Italia,16942,31974
2011-03-01,esercizi alberghieri,Paesi esteri,2301,6538
2011-03-01,esercizi extra-alberghieri,Italia,621,3583
2011-03-01,esercizi extra-alberghieri,Paesi esteri,83,972
2011-04-01,esercizi alberghieri,Italia,19315,34976
2011-04-01,esercizi alberghieri,Paesi esteri,5515,22851
2011-04-01,esercizi extra-alberghieri,Italia,955,3915
2011-04-01,esercizi extra-alberghieri,Paesi esteri,203,1641
2011-05-01,esercizi alberghieri,Italia,22816,45513
2011-05-01,esercizi alberghieri,Paesi esteri,6291,28032
2011-05-01,esercizi extra-alberghieri,Italia,917,3750
2011-05-01,esercizi extra-alberghieri,Paesi esteri,242,1845
2011-06-01,esercizi alberghieri,Italia,31518,108261
2011-06-01,esercizi alberghieri,Paesi esteri,5525,19160
2011-06-01,esercizi extra-alberghieri,Italia,1146,3888
2011-06-01,esercizi extra-alberghieri,Paesi esteri,357,2218
2011-07-01,esercizi alberghieri,Italia,37493,172018
2011-07-01,esercizi alberghieri,Paesi esteri,7337,29670
2011-07-01,esercizi extra-alberghieri,Italia,1620,5589
2011-07-01,esercizi extra-alberghieri,Paesi esteri,614,4044
2011-08-01,esercizi alberghieri,Italia,38355,203299
