Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Abruzzo,OTHER,Lettonia,2008-01-01,2.0,12.0
Abruzzo,OTHER,Lituania,2008-01-01,2.0,11.0
Abruzzo,OTHER,Lussemburgo,2008-01-01,1.0,3.0
Abruzzo,OTHER,Malta,2008-01-01,1.0,5.0
Abruzzo,OTHER,Messico,2008-01-01,3.0,9.0
Abruzzo,OTHER,Norvegia,2008-01-01,2.0,9.0
Abruzzo,OTHER,Nuova Zelanda,2008-01-01,2.0,7.0
Abruzzo,OTHER,Paesi Bassi,2008-01-01,10.0,59.0
Abruzzo,OTHER,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-01-01,2.0,26.0
Abruzzo,OTHER,Paesi esteri,2008-01-01,465.0,2910.0
Abruzzo,OTHER,Polonia,2008-01-01,29.0,212.0
Abruzzo,OTHER,Portogallo,2008-01-01,3.0,18.0
Abruzzo,OTHER,Regno unito,2008-01-01,31.0,169.0
Abruzzo,OTHER,Romania,2008-01-01,8.0,111.0
Abruzzo,OTHER,Russia,2008-01-01,10.0,56.0
Abruzzo,OTHER,Slovacchia,2008-01-01,3.0,21.0
Abruzzo,OTHER,Slovenia,2008-01-01,19.0,121.0
Abruzzo,OTHER,Spagna,2008-01-01,21.0,93.0
Abruzzo,OTHER,Stati Uniti,2008-01-01,31.0,141.0
Abruzzo,OTHER,Sud Africa,2008-01-01,2.0,13.0
Abruzzo,OTHER,Svezia,2008-01-01,4.0,26.0
Abruzzo,OTHER,Turchia,2008-01-01,2.0,8.0
Abruzzo,OTHER,Ungheria,2008-01-01,12.0,72.0
Abruzzo,OTHER,Venezuela,2008-01-01,1.0,4.0
Abruzzo,HOTELLIKE,Altri,2008-02-01,120.0,287.0
Abruzzo,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-02-01,32.0,120.0
Abruzzo,HOTELLIKE,Altri Paesi dell'Asia,2008-02-01,63.0,182.0
Abruzzo,HOTELLIKE,Altri paesi africani,2008-02-01,24.0,78.0
Abruzzo,HOTELLIKE,Altri paesi europei,2008-02-01,153.0,578.0
Abruzzo,HOTELLIKE,Argentina,2008-02-01,29.0,96.0
Abruzzo,HOTELLIKE,Australia,2008-02-01,49.0,151.0
Abruzzo,HOTELLIKE,Austria,2008-02-01,166.0,595.0
Abruzzo,HOTELLIKE,Belgio,2008-02-01,199.0,962.0
Abruzzo,HOTELLIKE,Brasile,2008-02-01,84.0,244.0
Abruzzo,HOTELLIKE,Bulgaria,2008-02-01,19.0,71.0
Abruzzo,HOTELLIKE,Canada,2008-02-01,49.0,159.0
Abruzzo,HOTELLIKE,"Ceca, Repubblica",2008-02-01,129.0,679.0
Abruzzo,HOTELLIKE,Cina,2008-02-01,197.0,335.0
Abruzzo,HOTELLIKE,Cipro,2008-02-01,4.0,12.0
Abruzzo,HOTELLIKE,Corea del sud,2008-02-01,67.0,122.0
Abruzzo,HOTELLIKE,Croazia,2008-02-01,33.0,115.0
Abruzzo,HOTELLIKE,Danimarca,2008-02-01,81.0,430.0
Abruzzo,HOTELLIKE,Egitto,2008-02-01,10.0,34.0
Abruzzo,HOTELLIKE,Estonia,2008-02-01,5.0,18.0
Abruzzo,HOTELLIKE,Finlandia,2008-02-01,43.0,162.0
Abruzzo,HOTELLIKE,Francia,2008-02-01,562.0,1652.0
Abruzzo,HOTELLIKE,Germania,2008-02-01,1068.0,5185.0
Abruzzo,HOTELLIKE,Giappone,2008-02-01,520.0,1036.0
Abruzzo,HOTELLIKE,Grecia,2008-02-01,74.0,223.0
Abruzzo,HOTELLIKE,India,2008-02-01,19.0,62.0
Abruzzo,HOTELLIKE,Irlanda,2008-02-01,82.0,348.0
Abruzzo,HOTELLIKE,Islanda,2008-02-01,8.0,50.0
Abruzzo,HOTELLIKE,Israele,2008-02-01,33.0,117.0
Abruzzo,HOTELLIKE,Italia,2008-02-01,10433.0,29625.0
Abruzzo,HOTELLIKE,Lettonia,2008-02-01,9.0,49.0
Abruzzo,HOTELLIKE,Lituania,2008-02-01,15.0,48.0
Abruzzo,HOTELLIKE,Lussemburgo,2008-02-01,13.0,66.0
Abruzzo,HOTELLIKE,Malta,2008-02-01,10.0,33.0
Abruzzo,HOTELLIKE,Messico,2008-02-01,22.0,61.0
Abruzzo,HOTELLIKE,Norvegia,2008-02-01,42.0,153.0
Abruzzo,HOTELLIKE,Nuova Zelanda,2008-02-01,7.0,22.0
Abruzzo,HOTELLIKE,Paesi Bassi,2008-02-01,173.0,763.0
Abruzzo,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-02-01,26.0,88.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-02-01,6594.0,24468.0
Abruzzo,HOTELLIKE,Polonia,2008-02-01,181.0,1090.0
Abruzzo,HOTELLIKE,Portogallo,2008-02-01,47.0,151.0
Abruzzo,HOTELLIKE,Regno unito,2008-02-01,604.0,2467.0
Abruzzo,HOTELLIKE,Romania,2008-02-01,97.0,405.0
Abruzzo,HOTELLIKE,Russia,2008-02-01,193.0,764.0
Abruzzo,HOTELLIKE,Slovacchia,2008-02-01,20.0,102.0
Abruzzo,HOTELLIKE,Slovenia,2008-02-01,53.0,250.0
Abruzzo,HOTELLIKE,Spagna,2008-02-01,358.0,984.0
Abruzzo,HOTELLIKE,Stati Uniti,2008-02-01,415.0,1324.0
Abruzzo,HOTELLIKE,Sud Africa,2008-02-01,9.0,35.0
Abruzzo,HOTELLIKE,Svezia,2008-02-01,106.0,518.0
Abruzzo,HOTELLIKE,Turchia,2008-02-01,37.0,119.0
Abruzzo,HOTELLIKE,Ungheria,2008-02-01,56.0,242.0
Abruzzo,HOTELLIKE,Venezuela,2008-02-01,6.0,18.0
Abruzzo,OTHER,Altri,2008-02-01,9.0,46.0
Abruzzo,OTHER,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-02-01,1.0,16.0
Abruzzo,OTHER,Altri Paesi dell'Asia,2008-02-01,3.0,14.0
Abruzzo,OTHER,Altri paesi africani,2008-02-01,2.0,18.0
Abruzzo,OTHER,Altri paesi europei,2008-02-01,12.0,156.0
Abruzzo,OTHER,Argentina,2008-02-01,5.0,17.0
Abruzzo,OTHER,Australia,2008-02-01,7.0,25.0
Abruzzo,OTHER,Austria,2008-02-01,20.0,92.0
Abruzzo,OTHER,Belgio,2008-02-01,13.0,62.0
Abruzzo,OTHER,Brasile,2008-02-01,9.0,40.0
Abruzzo,OTHER,Bulgaria,2008-02-01,2.0,12.0
Abruzzo,OTHER,Canada,2008-02-01,5.0,25.0
Abruzzo,OTHER,"Ceca, Repubblica",2008-02-01,41.0,248.0
Abruzzo,OTHER,Cina,2008-02-01,6.0,20.0
Abruzzo,OTHER,Cipro,2008-02-01,1.0,2.0
Abruzzo,OTHER,Corea del sud,2008-02-01,5.0,13.0
Abruzzo,OTHER,Croazia,2008-02-01,4.0,42.0
Abruzzo,OTHER,Danimarca,2008-02-01,13.0,84.0
Abruzzo,OTHER,Egitto,2008-02-01,1.0,7.0
Abruzzo,OTHER,Estonia,2008-02-01,1.0,2.0
Abruzzo,OTHER,Finlandia,2008-02-01,4.0,16.0
Abruzzo,OTHER,Francia,2008-02-01,51.0,192.0
Abruzzo,OTHER,Germania,2008-02-01,158.0,968.0
Abruzzo,OTHER,Giappone,2008-02-01,18.0,47.0
Abruzzo,OTHER,Grecia,2008-02-01,4.0,15.0
Abruzzo,OTHER,India,2008-02-01,2.0,19.0
Abruzzo,OTHER,Irlanda,2008-02-01,7.0,38.0
Abruzzo,OTHER,Islanda,2008-02-01,1.0,3.0
Abruzzo,OTHER,Israele,2008-02-01,2.0,9.0
Abruzzo,OTHER,Italia,2008-02-01,1085.0,6037.0
Abruzzo,OTHER,Lettonia,2008-02-01,3.0,14.0
Abruzzo,OTHER,Lituania,2008-02-01,2.0,10.0
Abruzzo,OTHER,Lussemburgo,2008-02-01,1.0,6.0
Abruzzo,OTHER,Malta,2008-02-01,1.0,6.0
Abruzzo,OTHER,Messico,2008-02-01,3.0,8.0
Abruzzo,OTHER,Norvegia,2008-02-01,3.0,13.0
Abruzzo,OTHER,Nuova Zelanda,2008-02-01,1.0,4.0
Abruzzo,OTHER,Paesi Bassi,2008-02-01,26.0,152.0
Abruzzo,OTHER,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-02-01,2.0,27.0
Abruzzo,OTHER,Paesi esteri,2008-02-01,652.0,3814.0
Abruzzo,OTHER,Polonia,2008-02-01,35.0,276.0
Abruzzo,OTHER,Portogallo,2008-02-01,4.0,21.0
Abruzzo,OTHER,Regno unito,2008-02-01,45.0,210.0
Abruzzo,OTHER,Romania,2008-02-01,10.0,143.0
Abruzzo,OTHER,Russia,2008-02-01,7.0,43.0
Abruzzo,OTHER,Slovacchia,2008-02-01,5.0,34.0
Abruzzo,OTHER,Slovenia,2008-02-01,25.0,172.0
Abruzzo,OTHER,Spagna,2008-02-01,28.0,98.0
Abruzzo,OTHER,Stati Uniti,2008-02-01,33.0,142.0
