TIME,percentage_arrivals,percentage_attendance
2008-01-01,0.3476379978106576,0.3697515206465307
2008-02-01,0.36145822575648046,0.3880371871372142
2008-03-01,0.27470284287627567,0.28485920516169166
2008-04-01,0.34861200373237466,0.381516644326948
2008-05-01,0.461012193163459,0.5663728273222859
2008-06-01,0.5383825700112937,0.7588806923443713
2008-07-01,0.6575980849270634,0.9336439355851768
2008-08-01,0.5217325970452534,0.7571986086635957
2008-09-01,0.45768620294564577,0.6339596675012988
2008-10-01,0.365882908872288,0.39579230518946534
2008-11-01,0.4138503308090087,0.5198240865187694
2008-12-01,0.3842329948523709,0.4349436413574196
2009-01-01,0.30393979785519537,0.3291503841565541
2009-02-01,0.2676188739225567,0.26838792654431814
2009-03-01,0.2563726451036719,0.2884546687405409
2009-04-01,0.222145985648465,0.24762043675710876
2009-05-01,0.3206044686029203,0.4008680020396261
2009-06-01,0.4353995143232025,0.6476624967914724
2009-07-01,0.4870296293443978,0.726358564164307
2009-08-01,0.41747304198761237,0.5828894665180958
2009-09-01,0.37069857285032826,0.5426146642222078
2009-10-01,0.279386345938306,0.41311406240442206
2009-11-01,0.39033418582353135,0.6265110942001153
2009-12-01,0.3318508120808953,0.49481536323701125
2010-01-01,0.28963864223496744,0.4044262844974641
2010-02-01,0.2658789084462268,0.3099134350021047
2010-03-01,0.286172459134841,0.32720109313640133
2010-04-01,0.24234230724508038,0.2931106898435742
2010-05-01,0.3827843699358188,0.4735733247519341
2010-06-01,0.42257979259618306,0.6011499341366897
2010-07-01,0.5515081993014401,0.8030163640324497
2010-08-01,0.4435155926635604,0.672293865576631
2010-09-01,0.38104577899532543,0.5597237742635084
2010-10-01,0.3212706570631537,0.41159069019167877
2010-11-01,0.3744757940841768,0.5527859871113742
2010-12-01,0.34584866254208607,0.47342242464193685
2011-01-01,0.3178421979276882,0.34117071637534585
2011-02-01,0.2898271049296545,0.3222548746882363
2011-03-01,0.2700873689418482,0.29363982514673614
2011-04-01,0.35872067303739835,0.459827424619674
2011-05-01,0.42879088896247897,0.5591017949609841
2011-06-01,0.45148968052831767,0.6236825771301236
2011-07-01,0.5586111414133655,0.8338462392959809
2011-08-01,0.45976395447368246,0.6485111704464799
2011-09-01,0.37408283693354816,0.5023840807069355
2011-10-01,0.33652893740933054,0.39742401059345284
2011-11-01,0.3783393240360042,0.569958244363402
2011-12-01,0.33673564351374274,0.4281143349623008
2012-01-01,0.2847751455891869,0.31757305306701333
2012-02-01,0.281378521244954,0.29966421950303196
2012-03-01,0.2774568048979246,0.3678160866255154
2012-04-01,0.33350080538379095,0.47496651923074873
2012-05-01,0.41371047173469916,0.5220113243149856
2012-06-01,0.4487430642511176,0.6495023570331363
2012-07-01,0.5357180548831845,0.7983890834170863
2012-08-01,0.43591060766266404,0.6555072672465683
2012-09-01,0.3801430535286405,0.5582648851047097
2012-10-01,0.2906271159860375,0.36142447032574254
2012-11-01,0.3184006685169229,0.46652549300279317
2012-12-01,0.3315932365614468,0.4362555053989005
2013-01-01,0.2779372119314723,0.3014632845994929
2013-02-01,0.2575878546659199,0.2722768237185285
2013-03-01,0.2414634495857928,0.24732411480165295
2013-04-01,0.2686856718624946,0.28767009675698235
2013-05-01,0.37703479128393735,0.4633326138886416
2013-06-01,0.44622343032223044,0.6270649962971352
2013-07-01,0.5108843344940054,0.7686881229221112
2013-08-01,0.4361431704036191,0.6526527415325563
2013-09-01,0.34983558863164144,0.5089723985512246
2013-10-01,0.2742209933252776,0.34208595777799017
2013-11-01,0.3344588033002569,0.4375899203853149
2013-12-01,0.3856097376363619,0.477025070200731
2014-01-01,0.27705579363196026,0.3026438836256364
2014-02-01,0.23083454581916396,0.2610006209534388
2014-03-01,0.22465480897000747,0.25794207353590054
2014-04-01,0.34914893636840394,0.31944228401114266
2014-05-01,0.30600651034751614,0.363795409719026
2014-06-01,0.3763958842083842,0.5437494772248015
2014-07-01,0.45342183912995593,0.6746806528550937
2014-08-01,0.38811378614083847,0.5323628058765553
2014-09-01,0.3216609459618869,0.4907340850887113
2014-10-01,0.25308641975308643,0.30001312682934267
2014-11-01,0.28169979034427534,0.4017325536789533
2014-12-01,0.2461965023672078,0.3401067275215842
2015-01-01,0.2237556590267119,0.22538824638111943
2015-02-01,0.21640274874312954,0.2110096378620749
2015-03-01,0.2069930222549895,0.19472156218842687
2015-04-01,0.2182565216957715,0.19425031879789212
2015-05-01,0.2914638916834257,0.3328808377039425
2015-06-01,0.37639140033102364,0.5202253959061439
2015-07-01,0.4492603691549274,0.6679073286056579
2015-08-01,0.3857741602072436,0.5268711267831785
2015-09-01,0.3111316483094899,0.44854557366305814
2015-10-01,0.23409470152180709,0.24764498860510448
2015-11-01,0.2540889286662667,0.32031970275558175
2015-12-01,0.2572713801922439,0.3052388381966659
2016-01-01,0.1993869550385413,0.20652767460093396
2016-02-01,0.24712298161710128,0.26137370268409443
2016-03-01,0.2073257021027004,0.1841571627195839
2016-04-01,0.25831762825289556,0.2406278068881533
2016-05-01,0.3224630534098172,0.35367127066311393
2016-06-01,0.435174560750589,0.5596366731963329
2016-07-01,0.4732036876519464,0.6694329559835834
2016-08-01,0.38462795180947845,0.5362517478156166
2016-09-01,0.319512871937434,0.4303925538670352
2016-10-01,0.2640424892736605,0.2603720048705553
2016-11-01,0.2591307609358151,0.35768757705036475
2016-12-01,0.21896187276440132,0.25284493250246726
2017-01-01,0.23423901652731077,0.1953715007080898
2017-02-01,0.18761010444192777,0.16976723880871972
2017-03-01,0.2088084024038963,0.18942887205590792
