TIME,percentage_arrivals,percentage_attendance
2018-08-01,0.3665427589233613,0.49594679337405917
2018-09-01,0.31954915963459407,0.39342738656963666
2018-10-01,0.23026515593751637,0.211074128010789
2018-11-01,0.2519955596383893,0.2601965082282819
2018-12-01,0.2290078399811098,0.2205029908221024
2019-01-01,0.20144926767422244,0.15726250212262896
2019-02-01,0.18211857738364165,0.148431001715952
2019-03-01,0.18419268203012457,0.1628937254022607
2019-04-01,0.19605131258199093,0.1818450410197732
2019-05-01,0.31199974541927644,0.29802615987644204
2019-06-01,0.36468131223020334,0.46754270369119855
2019-07-01,0.406165635405023,0.5562246113561585
2019-08-01,0.35117377019883667,0.44864660616732943
2019-09-01,0.3150294605940479,0.3734730837029857
2019-10-01,0.2160104047548581,0.21135218126341623
2019-11-01,0.22643280107320965,0.2444454535709641
2019-12-01,0.21380390769810856,0.2043097140976766
2020-01-01,0.18504039397733815,0.1634089113290376
2020-02-01,0.18382854586795114,0.14656178717326898
2020-03-01,0.27965706699057924,0.28650306852502216
2020-04-01,0.5886575735821967,0.6144095201138274
2020-05-01,0.6875805758487322,0.5118825377536982
2020-06-01,0.5002005880530771,0.43744058090716453
2020-07-01,0.5101851493645582,0.5390927609543207
2020-08-01,0.39918340563595933,0.39898692196578595
2020-09-01,0.41433183954623637,0.37818108232506975
2020-10-01,0.4582593551961395,0.35363683166020043
2020-11-01,0.7038978441650573,0.6742588686717131
2020-12-01,0.5794137695978187,0.6227857613185904
2021-01-01,0.7345529132298414,0.6742150083007871
2021-02-01,0.532391576067731,0.5757011915530497
2021-03-01,0.8069018690346422,0.6568050184808881
2021-04-01,0.6993416811548905,0.6674814472604677
2021-05-01,0.48582718921600493,0.39443262593405987
2021-06-01,0.49519281031187273,0.4835671858246053
2021-07-01,0.5252297376536993,0.5884837697780121
2021-08-01,0.40507639542789137,0.4407506064504808
2021-09-01,0.43263753004176503,0.45029019090017797
2021-10-01,0.25647524251138004,0.25876014070315656
2021-11-01,0.28577589240391654,0.2653040339058414
2021-12-01,0.24993177988979637,0.2050987666123072
