Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Abruzzo,HOTELLIKE,Italia,2008-06-01,128627,557384
Abruzzo,HOTELLIKE,Paesi esteri,2008-06-01,18081,84015
Abruzzo,OTHER,Italia,2008-06-01,35350,298905
Abruzzo,OTHER,Paesi esteri,2008-06-01,6641,49450
Chieti,HOTELLIKE,Italia,2008-06-01,23521,75219
Chieti,HOTELLIKE,Paesi esteri,2008-06-01,3190,10281
Chieti,OTHER,Italia,2008-06-01,5010,35132
Chieti,OTHER,Paesi esteri,2008-06-01,436,3728
L'Aquila,HOTELLIKE,Italia,2008-06-01,22692,68206
L'Aquila,HOTELLIKE,Paesi esteri,2008-06-01,3525,12295
L'Aquila,OTHER,Italia,2008-06-01,2734,9598
L'Aquila,OTHER,Paesi esteri,2008-06-01,928,2915
Pescara,HOTELLIKE,Italia,2008-06-01,30205,116229
Pescara,HOTELLIKE,Paesi esteri,2008-06-01,4428,15177
Pescara,OTHER,Italia,2008-06-01,1259,5284
Pescara,OTHER,Paesi esteri,2008-06-01,395,3236
Teramo,HOTELLIKE,Italia,2008-06-01,52209,297730
Teramo,HOTELLIKE,Paesi esteri,2008-06-01,6938,46262
Teramo,OTHER,Italia,2008-06-01,26347,248891
Teramo,OTHER,Paesi esteri,2008-06-01,4882,39571
Abruzzo,HOTELLIKE,Italia,2008-07-01,156239,911178
Abruzzo,HOTELLIKE,Paesi esteri,2008-07-01,26349,147386
Abruzzo,OTHER,Italia,2008-07-01,50557,598897
Abruzzo,OTHER,Paesi esteri,2008-07-01,12648,125006
Chieti,HOTELLIKE,Italia,2008-07-01,27809,121719
Chieti,HOTELLIKE,Paesi esteri,2008-07-01,4421,17974
Chieti,OTHER,Italia,2008-07-01,9153,115954
Chieti,OTHER,Paesi esteri,2008-07-01,1096,9830
L'Aquila,HOTELLIKE,Italia,2008-07-01,35729,156297
L'Aquila,HOTELLIKE,Paesi esteri,2008-07-01,4309,16077
L'Aquila,OTHER,Italia,2008-07-01,6070,21359
L'Aquila,OTHER,Paesi esteri,2008-07-01,1151,4717
Pescara,HOTELLIKE,Italia,2008-07-01,31370,155890
Pescara,HOTELLIKE,Paesi esteri,2008-07-01,7073,30180
Pescara,OTHER,Italia,2008-07-01,1720,10336
Pescara,OTHER,Paesi esteri,2008-07-01,683,5778
Teramo,HOTELLIKE,Italia,2008-07-01,61331,477272
Teramo,HOTELLIKE,Paesi esteri,2008-07-01,10546,83155
Teramo,OTHER,Italia,2008-07-01,33614,451248
Teramo,OTHER,Paesi esteri,2008-07-01,9718,104681
Abruzzo,HOTELLIKE,Italia,2008-08-01,200205,1087073
Abruzzo,HOTELLIKE,Paesi esteri,2008-08-01,17950,95698
Abruzzo,OTHER,Italia,2008-08-01,79785,867175
Abruzzo,OTHER,Paesi esteri,2008-08-01,9965,94911
Chieti,HOTELLIKE,Italia,2008-08-01,34523,152237
Chieti,HOTELLIKE,Paesi esteri,2008-08-01,3243,14529
Chieti,OTHER,Italia,2008-08-01,14119,191555
Chieti,OTHER,Paesi esteri,2008-08-01,939,7969
L'Aquila,HOTELLIKE,Italia,2008-08-01,48202,204534
L'Aquila,HOTELLIKE,Paesi esteri,2008-08-01,3095,12579
L'Aquila,OTHER,Italia,2008-08-01,14095,58718
L'Aquila,OTHER,Paesi esteri,2008-08-01,1225,5147
Pescara,HOTELLIKE,Italia,2008-08-01,36751,179174
Pescara,HOTELLIKE,Paesi esteri,2008-08-01,5208,22085
Pescara,OTHER,Italia,2008-08-01,2892,13656
Pescara,OTHER,Paesi esteri,2008-08-01,527,4933
Teramo,HOTELLIKE,Italia,2008-08-01,80729,551128
Teramo,HOTELLIKE,Paesi esteri,2008-08-01,6404,46505
Teramo,OTHER,Italia,2008-08-01,48679,603246
Teramo,OTHER,Paesi esteri,2008-08-01,7274,76862
Abruzzo,HOTELLIKE,Italia,2008-09-01,90428,341554
Abruzzo,HOTELLIKE,Paesi esteri,2008-09-01,17933,81573
Abruzzo,OTHER,Italia,2008-09-01,9531,120815
Abruzzo,OTHER,Paesi esteri,2008-09-01,4253,44019
Chieti,HOTELLIKE,Italia,2008-09-01,19204,54624
Chieti,HOTELLIKE,Paesi esteri,2008-09-01,3537,10982
Chieti,OTHER,Italia,2008-09-01,1393,14460
Chieti,OTHER,Paesi esteri,2008-09-01,408,2471
L'Aquila,HOTELLIKE,Italia,2008-09-01,22298,56967
L'Aquila,HOTELLIKE,Paesi esteri,2008-09-01,3635,11601
L'Aquila,OTHER,Italia,2008-09-01,3125,8649
L'Aquila,OTHER,Paesi esteri,2008-09-01,689,2399
Pescara,HOTELLIKE,Italia,2008-09-01,26053,91820
Pescara,HOTELLIKE,Paesi esteri,2008-09-01,4723,15660
Pescara,OTHER,Italia,2008-09-01,828,3473
Pescara,OTHER,Paesi esteri,2008-09-01,268,2658
Teramo,HOTELLIKE,Italia,2008-09-01,22873,138143
Teramo,HOTELLIKE,Paesi esteri,2008-09-01,6038,43330
Teramo,OTHER,Italia,2008-09-01,4185,94233
Teramo,OTHER,Paesi esteri,2008-09-01,2888,36491
Abruzzo,HOTELLIKE,Italia,2008-10-01,60564,146399
Abruzzo,HOTELLIKE,Paesi esteri,2008-10-01,11232,35943
Abruzzo,OTHER,Italia,2008-10-01,3893,16076
Abruzzo,OTHER,Paesi esteri,2008-10-01,1536,9564
Chieti,HOTELLIKE,Italia,2008-10-01,15827,38643
Chieti,HOTELLIKE,Paesi esteri,2008-10-01,2465,7408
Chieti,OTHER,Italia,2008-10-01,909,4465
Chieti,OTHER,Paesi esteri,2008-10-01,217,1662
L'Aquila,HOTELLIKE,Italia,2008-10-01,14156,33534
L'Aquila,HOTELLIKE,Paesi esteri,2008-10-01,2177,6460
L'Aquila,OTHER,Italia,2008-10-01,1804,4743
L'Aquila,OTHER,Paesi esteri,2008-10-01,437,1150
Pescara,HOTELLIKE,Italia,2008-10-01,19730,42750
Pescara,HOTELLIKE,Paesi esteri,2008-10-01,4064,11759
Pescara,OTHER,Italia,2008-10-01,650,2689
Pescara,OTHER,Paesi esteri,2008-10-01,218,1831
Teramo,HOTELLIKE,Italia,2008-10-01,10851,31472
Teramo,HOTELLIKE,Paesi esteri,2008-10-01,2526,10316
Teramo,OTHER,Italia,2008-10-01,530,4179
Teramo,OTHER,Paesi esteri,2008-10-01,664,4921
Abruzzo,HOTELLIKE,Italia,2008-11-01,54828,127905
Abruzzo,HOTELLIKE,Paesi esteri,2008-11-01,6501,22823
Abruzzo,OTHER,Italia,2008-11-01,3044,11885
Abruzzo,OTHER,Paesi esteri,2008-11-01,212,2077
Chieti,HOTELLIKE,Italia,2008-11-01,13576,33239
Chieti,HOTELLIKE,Paesi esteri,2008-11-01,1554,5124
Chieti,OTHER,Italia,2008-11-01,692,4603
Chieti,OTHER,Paesi esteri,2008-11-01,42,942
L'Aquila,HOTELLIKE,Italia,2008-11-01,12556,29951
L'Aquila,HOTELLIKE,Paesi esteri,2008-11-01,964,3673
L'Aquila,OTHER,Italia,2008-11-01,1352,3728
L'Aquila,OTHER,Paesi esteri,2008-11-01,82,429
Pescara,HOTELLIKE,Italia,2008-11-01,18756,39856
Pescara,HOTELLIKE,Paesi esteri,2008-11-01,2409,8377
Pescara,OTHER,Italia,2008-11-01,604,2368
Pescara,OTHER,Paesi esteri,2008-11-01,38,458
Teramo,HOTELLIKE,Italia,2008-11-01,9940,24859
Teramo,HOTELLIKE,Paesi esteri,2008-11-01,1574,5649
Teramo,OTHER,Italia,2008-11-01,396,1186
Teramo,OTHER,Paesi esteri,2008-11-01,50,248
Abruzzo,HOTELLIKE,Italia,2008-12-01,80800,195891
Abruzzo,HOTELLIKE,Paesi esteri,2008-12-01,5106,18067
Abruzzo,OTHER,Italia,2008-12-01,7507,22709
Abruzzo,OTHER,Paesi esteri,2008-12-01,378,2613
Chieti,HOTELLIKE,Italia,2008-12-01,12638,29769
Chieti,HOTELLIKE,Paesi esteri,2008-12-01,909,3022
Chieti,OTHER,Italia,2008-12-01,1199,5702
Chieti,OTHER,Paesi esteri,2008-12-01,149,1446
L'Aquila,HOTELLIKE,Italia,2008-12-01,40533,104726
L'Aquila,HOTELLIKE,Paesi esteri,2008-12-01,1284,4026
L'Aquila,OTHER,Italia,2008-12-01,4892,12925
L'Aquila,OTHER,Paesi esteri,2008-12-01,114,384
Pescara,HOTELLIKE,Italia,2008-12-01,15441,31542
Pescara,HOTELLIKE,Paesi esteri,2008-12-01,1752,6685
Pescara,OTHER,Italia,2008-12-01,840,2816
Pescara,OTHER,Paesi esteri,2008-12-01,76,625
Teramo,HOTELLIKE,Italia,2008-12-01,12188,29854
Teramo,HOTELLIKE,Paesi esteri,2008-12-01,1161,4334
Teramo,OTHER,Italia,2008-12-01,576,1266
Teramo,OTHER,Paesi esteri,2008-12-01,39,158
Abruzzo,HOTELLIKE,Italia,2009-01-01,91843,264923
Abruzzo,HOTELLIKE,Paesi esteri,2009-01-01,4467,17101
Abruzzo,OTHER,Italia,2009-01-01,6919,27012
Abruzzo,OTHER,Paesi esteri,2009-01-01,244,1832
Chieti,HOTELLIKE,Italia,2009-01-01,12749,35652
Chieti,HOTELLIKE,Paesi esteri,2009-01-01,833,2824
Chieti,OTHER,Italia,2009-01-01,955,5546
Chieti,OTHER,Paesi esteri,2009-01-01,49,896
L'Aquila,HOTELLIKE,Italia,2009-01-01,54291,166197
L'Aquila,HOTELLIKE,Paesi esteri,2009-01-01,1210,3987
L'Aquila,OTHER,Italia,2009-01-01,5121,17601
L'Aquila,OTHER,Paesi esteri,2009-01-01,121,421
Pescara,HOTELLIKE,Italia,2009-01-01,14392,31203
Pescara,HOTELLIKE,Paesi esteri,2009-01-01,1557,5977
Pescara,OTHER,Italia,2009-01-01,472,2110
Pescara,OTHER,Paesi esteri,2009-01-01,36,392
Teramo,HOTELLIKE,Italia,2009-01-01,10411,31871
Teramo,HOTELLIKE,Paesi esteri,2009-01-01,867,4313
Teramo,OTHER,Italia,2009-01-01,371,1755
Teramo,OTHER,Paesi esteri,2009-01-01,38,123
Abruzzo,HOTELLIKE,Italia,2009-02-01,92243,249888
