Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Abruzzo,ALL,Paesi esteri,2012-03-01,7739,31737
Italia,ALL,Paesi esteri,2012-03-01,2789263,8628497
Abruzzo,ALL,Paesi esteri,2012-04-01,13402,57926
Italia,ALL,Paesi esteri,2012-04-01,4018581,12195807
Abruzzo,ALL,Paesi esteri,2012-05-01,21325,86324
Italia,ALL,Paesi esteri,2012-05-01,5154571,16536806
Abruzzo,ALL,Paesi esteri,2012-06-01,25140,136417
Italia,ALL,Paesi esteri,2012-06-01,5602315,21003311
Abruzzo,ALL,Paesi esteri,2012-07-01,39340,259082
Italia,ALL,Paesi esteri,2012-07-01,7343415,32450594
Abruzzo,ALL,Paesi esteri,2012-08-01,27935,195831
Italia,ALL,Paesi esteri,2012-08-01,6408424,29874726
Abruzzo,ALL,Paesi esteri,2012-09-01,22985,128008
Italia,ALL,Paesi esteri,2012-09-01,6046408,22929617
Abruzzo,ALL,Paesi esteri,2012-10-01,11842,46931
Italia,ALL,Paesi esteri,2012-10-01,4074637,12985009
Abruzzo,ALL,Paesi esteri,2012-11-01,5883,24170
Italia,ALL,Paesi esteri,2012-11-01,1847672,5180853
Abruzzo,ALL,Paesi esteri,2012-12-01,5363,21936
Italia,ALL,Paesi esteri,2012-12-01,1617343,5028246
Abruzzo,ALL,Paesi esteri,2013-01-01,4794,18999
Italia,ALL,Paesi esteri,2013-01-01,1724850,6302260
Abruzzo,ALL,Paesi esteri,2013-02-01,5404,20185
Italia,ALL,Paesi esteri,2013-02-01,2097925,7413411
Abruzzo,ALL,Paesi esteri,2013-03-01,7414,24010
Italia,ALL,Paesi esteri,2013-03-01,3070444,9707909
Abruzzo,ALL,Paesi esteri,2013-04-01,9692,30107
Italia,ALL,Paesi esteri,2013-04-01,3607189,10465808
Abruzzo,ALL,Paesi esteri,2013-05-01,21568,87543
Italia,ALL,Paesi esteri,2013-05-01,5720427,18894202
Abruzzo,ALL,Paesi esteri,2013-06-01,25714,129321
Italia,ALL,Paesi esteri,2013-06-01,5762584,20623221
Abruzzo,ALL,Paesi esteri,2013-07-01,38099,255067
Italia,ALL,Paesi esteri,2013-07-01,7457461,33182118
Abruzzo,ALL,Paesi esteri,2013-08-01,30254,202284
Italia,ALL,Paesi esteri,2013-08-01,6936713,30994124
Abruzzo,ALL,Paesi esteri,2013-09-01,21560,119144
Italia,ALL,Paesi esteri,2013-09-01,6162895,23408735
Abruzzo,ALL,Paesi esteri,2013-10-01,11542,45563
Italia,ALL,Paesi esteri,2013-10-01,4209014,13319167
Abruzzo,ALL,Paesi esteri,2013-11-01,6096,22568
Italia,ALL,Paesi esteri,2013-11-01,1822646,5157340
Abruzzo,ALL,Paesi esteri,2013-12-01,6521,25402
Italia,ALL,Paesi esteri,2013-12-01,1691088,5325087
Abruzzo,ALL,Paesi esteri,2014-01-01,4962,19599
Italia,ALL,Paesi esteri,2014-01-01,1790975,6475928
Abruzzo,ALL,Paesi esteri,2014-02-01,4869,19297
Italia,ALL,Paesi esteri,2014-02-01,2109303,7393469
Abruzzo,ALL,Paesi esteri,2014-03-01,6274,23366
Italia,ALL,Paesi esteri,2014-03-01,2792729,9058623
Abruzzo,ALL,Paesi esteri,2014-04-01,14993,40333
Italia,ALL,Paesi esteri,2014-04-01,4294156,12626068
Abruzzo,ALL,Paesi esteri,2014-05-01,16076,58049
Italia,ALL,Paesi esteri,2014-05-01,5253483,15956496
Abruzzo,ALL,Paesi esteri,2014-06-01,23675,128910
Italia,ALL,Paesi esteri,2014-06-01,6289920,23707609
Abruzzo,ALL,Paesi esteri,2014-07-01,33800,213308
Italia,ALL,Paesi esteri,2014-07-01,7454427,31616143
Abruzzo,ALL,Paesi esteri,2014-08-01,28792,170107
Italia,ALL,Paesi esteri,2014-08-01,7418443,31953209
Abruzzo,ALL,Paesi esteri,2014-09-01,20151,118251
Italia,ALL,Paesi esteri,2014-09-01,6264671,24096757
Abruzzo,ALL,Paesi esteri,2014-10-01,11029,40339
Italia,ALL,Paesi esteri,2014-10-01,4357800,13445745
Abruzzo,ALL,Paesi esteri,2014-11-01,5263,20505
Italia,ALL,Paesi esteri,2014-11-01,1868301,5104142
Abruzzo,ALL,Paesi esteri,2014-12-01,4287,18224
Italia,ALL,Paesi esteri,2014-12-01,1741292,5358318
Abruzzo,ALL,Paesi esteri,2015-01-01,4337,14900
Italia,ALL,Paesi esteri,2015-01-01,1938275,6610815
Abruzzo,ALL,Paesi esteri,2015-02-01,5003,16830
Italia,ALL,Paesi esteri,2015-02-01,2311893,7975939
Abruzzo,ALL,Paesi esteri,2015-03-01,6070,17497
Italia,ALL,Paesi esteri,2015-03-01,2932466,8985651
Abruzzo,ALL,Paesi esteri,2015-04-01,9192,23631
Italia,ALL,Paesi esteri,2015-04-01,4211558,12165231
Abruzzo,ALL,Paesi esteri,2015-05-01,17748,62131
Italia,ALL,Paesi esteri,2015-05-01,6089262,18664637
Abruzzo,ALL,Paesi esteri,2015-06-01,23844,117586
Italia,ALL,Paesi esteri,2015-06-01,6334895,22602895
Abruzzo,ALL,Paesi esteri,2015-07-01,36322,221146
Italia,ALL,Paesi esteri,2015-07-01,8084844,33110282
Abruzzo,ALL,Paesi esteri,2015-08-01,30367,171777
Italia,ALL,Paesi esteri,2015-08-01,7871704,32603229
Abruzzo,ALL,Paesi esteri,2015-09-01,21021,113015
Italia,ALL,Paesi esteri,2015-09-01,6756304,25195879
Abruzzo,ALL,Paesi esteri,2015-10-01,11000,34851
Italia,ALL,Paesi esteri,2015-10-01,4698953,14072968
Abruzzo,ALL,Paesi esteri,2015-11-01,5167,17549
Italia,ALL,Paesi esteri,2015-11-01,2033540,5478589
Abruzzo,ALL,Paesi esteri,2015-12-01,4568,15747
Italia,ALL,Paesi esteri,2015-12-01,1775557,5158911
Abruzzo,ALL,Paesi esteri,2016-01-01,3992,13453
Italia,ALL,Paesi esteri,2016-01-01,2002137,6513897
Abruzzo,ALL,Paesi esteri,2016-02-01,6026,21855
Italia,ALL,Paesi esteri,2016-02-01,2438462,8361591
Abruzzo,ALL,Paesi esteri,2016-03-01,7126,19934
Italia,ALL,Paesi esteri,2016-03-01,3437104,10824450
Abruzzo,ALL,Paesi esteri,2016-04-01,10365,26889
Italia,ALL,Paesi esteri,2016-04-01,4012502,11174519
Abruzzo,ALL,Paesi esteri,2016-05-01,20434,71788
Italia,ALL,Paesi esteri,2016-05-01,6336850,20297945
Abruzzo,ALL,Paesi esteri,2016-06-01,26859,122355
Italia,ALL,Paesi esteri,2016-06-01,6172006,21863292
Abruzzo,ALL,Paesi esteri,2016-07-01,41381,233522
Italia,ALL,Paesi esteri,2016-07-01,8744860,34883553
Abruzzo,ALL,Paesi esteri,2016-08-01,29664,182285
Italia,ALL,Paesi esteri,2016-08-01,7712388,33992430
Abruzzo,ALL,Paesi esteri,2016-09-01,22280,110185
Italia,ALL,Paesi esteri,2016-09-01,6973115,25601047
Abruzzo,ALL,Paesi esteri,2016-10-01,12806,38304
Italia,ALL,Paesi esteri,2016-10-01,4849977,14711259
Abruzzo,ALL,Paesi esteri,2016-11-01,5527,20159
Italia,ALL,Paesi esteri,2016-11-01,2132900,5635924
Abruzzo,ALL,Paesi esteri,2016-12-01,4274,14063
Italia,ALL,Paesi esteri,2016-12-01,1951938,5561907
Abruzzo,ALL,Paesi esteri,2017-01-01,4951,13517
Italia,ALL,Paesi esteri,2017-01-01,2113653,6918614
Abruzzo,ALL,Paesi esteri,2017-02-01,4771,14330
Italia,ALL,Paesi esteri,2017-02-01,2543040,8440969
Abruzzo,ALL,Paesi esteri,2017-03-01,6506,18014
Italia,ALL,Paesi esteri,2017-03-01,3115775,9509638
Abruzzo,ALL,Paesi esteri,2017-04-01,9892,28486
Italia,ALL,Paesi esteri,2017-04-01,5169577,14832860
Abruzzo,ALL,Paesi esteri,2017-05-01,17319,51817
Italia,ALL,Paesi esteri,2017-05-01,5947392,17699077
Abruzzo,ALL,Paesi esteri,2017-06-01,29775,147823
Italia,ALL,Paesi esteri,2017-06-01,7455097,27216376
Abruzzo,ALL,Paesi esteri,2017-07-01,41568,233739
Italia,ALL,Paesi esteri,2017-07-01,9153746,36688167
Abruzzo,ALL,Paesi esteri,2017-08-01,29064,176083
Italia,ALL,Paesi esteri,2017-08-01,8038639,34849540
Abruzzo,ALL,Paesi esteri,2017-09-01,23649,116849
Italia,ALL,Paesi esteri,2017-09-01,7404487,26587843
Abruzzo,ALL,Paesi esteri,2017-10-01,11529,35653
Italia,ALL,Paesi esteri,2017-10-01,5191998,15825069
Abruzzo,ALL,Paesi esteri,2017-11-01,5939,16406
Italia,ALL,Paesi esteri,2017-11-01,2298634,6165966
Abruzzo,ALL,Paesi esteri,2017-12-01,4627,12947
