Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Teramo,OTHER,Italia,2012,134164.0,1411347.0
Teramo,OTHER,Paesi esteri,2012,29225.0,268642.0
Abruzzo,HOTELLIKE,Italia,2013,1067798.0,3964853.0
Abruzzo,HOTELLIKE,Paesi esteri,2013,141375.0,608635.0
Abruzzo,OTHER,Italia,2013,254756.0,1993193.0
Abruzzo,OTHER,Paesi esteri,2013,47283.0,371558.0
Chieti,HOTELLIKE,Italia,2013,204626.0,579406.0
Chieti,HOTELLIKE,Paesi esteri,2013,31911.0,95897.0
Chieti,OTHER,Italia,2013,46957.0,398542.0
Chieti,OTHER,Paesi esteri,2013,5242.0,28228.0
L'Aquila,HOTELLIKE,Italia,2013,313201.0,948876.0
L'Aquila,HOTELLIKE,Paesi esteri,2013,22175.0,76275.0
L'Aquila,OTHER,Italia,2013,63955.0,191041.0
L'Aquila,OTHER,Paesi esteri,2013,8598.0,34264.0
Pescara,HOTELLIKE,Italia,2013,247722.0,817684.0
Pescara,HOTELLIKE,Paesi esteri,2013,44206.0,156379.0
Pescara,OTHER,Italia,2013,11345.0,43665.0
Pescara,OTHER,Paesi esteri,2013,3217.0,26436.0
Teramo,HOTELLIKE,Italia,2013,302249.0,1618887.0
Teramo,HOTELLIKE,Paesi esteri,2013,43083.0,280084.0
Teramo,OTHER,Italia,2013,132499.0,1359945.0
Teramo,OTHER,Paesi esteri,2013,30226.0,282630.0
Abruzzo,HOTELLIKE,Italia,2014,983712.0,3473019.0
Abruzzo,HOTELLIKE,Paesi esteri,2014,127714.0,524897.0
Abruzzo,OTHER,Italia,2014,253552.0,1939367.0
Abruzzo,OTHER,Paesi esteri,2014,46457.0,345391.0
Chieti,HOTELLIKE,Italia,2014,191929.0,525191.0
Chieti,HOTELLIKE,Paesi esteri,2014,28168.0,86055.0
Chieti,OTHER,Italia,2014,47273.0,387429.0
Chieti,OTHER,Paesi esteri,2014,4376.0,22751.0
